current_app_name,timestep,state,action,next_state,reward,done,number_of_pods,cpu_util,latency_violation,latency,hpa_threshold,info
firewall,42,738,0,26,9.415622835,FALSE,6,3,1,2.717025876,20,{'datetime': '20/06/2022 22:09:43'}
firewall,43,26,0,354,0,FALSE,1,55,0,2.438292742,20,{'datetime': '20/06/2022 22:09:48'}
firewall,44,354,0,353,0,FALSE,1,55,0,2.009299874,20,{'datetime': '20/06/2022 22:09:54'}
firewall,45,352,0,709,0,FALSE,3,100,0,1.518579006,20,{'datetime': '20/06/2022 22:10:01'}
firewall,46,709,0,709,0,FALSE,3,100,0,1.108782053,20,{'datetime': '20/06/2022 22:10:04'}
firewall,47,709,1,27,8.888888889,FALSE,6,1,1,3.791902781,20,{'datetime': '20/06/2022 22:11:53'}
firewall,48,27,0,705,0,FALSE,1,94,1,3.70713532,20,{'datetime': '20/06/2022 22:12:01'}
firewall,49,705,0,893,0,FALSE,5,111,0,2.185856581,20,{'datetime': '20/06/2022 22:12:06'}
firewall,50,893,0,891,0,FALSE,5,111,0,1.461027265,20,{'datetime': '20/06/2022 22:12:09'}
firewall,51,891,2,913,25,FALSE,1,111,0,1.737470269,40,{'datetime': '20/06/2022 22:13:47'}
firewall,52,913,0,23,11.64780543,FALSE,6,0,0,1.030639768,20,{'datetime': '20/06/2022 22:15:25'}
firewall,53,23,0,22,0,FALSE,6,0,0,0.866418958,20,{'datetime': '20/06/2022 22:15:28'}
firewall,54,22,2,57,11.7671831,FALSE,6,1,0,0.957216144,40,{'datetime': '20/06/2022 22:17:04'}
firewall,55,57,0,540,16.15174156,FALSE,4,79,0,0.99366045,20,{'datetime': '20/06/2022 22:18:40'}
firewall,56,540,1,205,2.669717507,FALSE,10,37,0,1.08760643,20,{'datetime': '20/06/2022 22:20:16'}
firewall,57,205,1,205,2.757183215,FALSE,8,36,0,1.031729102,40,{'datetime': '20/06/2022 22:21:53'}
firewall,58,205,2,232,9.563069775,FALSE,7,34,0,0.946344972,40,{'datetime': '20/06/2022 22:23:28'}
firewall,59,232,0,204,2.844443859,FALSE,4,26,0,0.97772193,40,{'datetime': '20/06/2022 22:25:03'}
firewall,60,204,1,625,2.075552399,FALSE,10,66,0,1.523965001,40,{'datetime': '20/06/2022 22:26:42'}
firewall,61,625,2,659,2.887928262,FALSE,8,69,0,0.951424122,80,{'datetime': '20/06/2022 22:28:19'}
firewall,62,659,0,260,13.89843691,FALSE,4,27,0,1.012882471,60,{'datetime': '20/06/2022 22:29:54'}
firewall,63,260,1,72,25,FALSE,1,0,0,1.034287691,60,{'datetime': '20/06/2022 22:31:30'}
